,names,rating,review,cuisine,specdiet,min_price,max_price,url,address,latitude,longtitude,distance
32,Dari Pandok,5.0,38,NotArmenian,NotVegetarian,2,13,https://www.tripadvisor.com/Restaurant_Review-g293932-d17638831-Reviews-Dari_Pandok-Yerevan.html,"Pushkina str. 1 Sakharov square, Yerevan 0010 Armenia",44.518574,40.17982,0.4974649301886318
33,KONG Cafe & Cocktail Room,5.0,29,NotArmenian,NotVegetarian,9,20,https://www.tripadvisor.com/Restaurant_Review-g293932-d19981414-Reviews-KONG_Cafe_Cocktail_Room-Yerevan.html,"Abovyan str. 3/1 Upstairs, Yerevan 0010 Armenia",44.515421,40.181039,0.17346664718523416
34,Old Jrvezh Armenia,4.5,63,Armenian,Vegetarian,7,203,https://www.tripadvisor.com/Restaurant_Review-g293932-d7220799-Reviews-Old_Jrvezh_Armenia-Yerevan.html,"V. Jrvejh 17 St., 2/1, Yerevan 2227 Armenia",44.543952,40.174858,3.312884636602136
35,Mamoor Restaurant,4.5,110,NotArmenian,Vegetarian,6,14,https://www.tripadvisor.com/Restaurant_Review-g293932-d12170385-Reviews-Mamoor_Restaurant-Yerevan.html,"Abovyan str. 14, Yerevan 0001 Armenia",44.611092,40.293414,13.844709292406382
36,La Fayette Restaurant,5.0,39,NotArmenian,Vegetarian,20,40,https://www.tripadvisor.com/Restaurant_Review-g293932-d10872643-Reviews-La_Fayette_Restaurant-Yerevan.html,"16, 13 Rue De Nork Marash, Yerevan 0047 Armenia",44.512546,40.177628,0.48897940208419083
37,Los Pueblos,4.5,62,NotArmenian,Vegetarian,2,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d15529866-Reviews-Los_Pueblos-Yerevan.html,"Tamanyan str. 6 Suite 18-19, Yerevan 0009 Armenia",44.515511,40.190382,0.595044730766141
38,Sorriso Cafe Gelateria,4.5,98,NotArmenian,Vegetarian,0,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d9878781-Reviews-Sorriso_Cafe_Gelateria-Yerevan.html,"North ave, 10 – 5/1, Yerevan 0001 Armenia",44.514118,40.181942,0.10573511866939839
39,Sakurada,4.5,128,NotArmenian,Vegetarian,3,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d7034011-Reviews-Sakurada-Yerevan.html,"Nalbandyan str. 23, Yerevan 0010 Armenia",44.519329,40.181494,0.5266236173006055
40,Enoteca EVN,4.5,69,NotArmenian,NotVegetarian,2,21,https://www.tripadvisor.com/Restaurant_Review-g293932-d8668092-Reviews-Enoteca_EVN-Yerevan.html,"Pushkina str. 38, Yerevan 0010 Armenia",44.512546,40.177628,0.48897940208419083
41,37 Beer And Meat,4.5,93,NotArmenian,NotVegetarian,2,30,https://www.tripadvisor.com/Restaurant_Review-g293932-d5809789-Reviews-37_Beer_And_Meat-Yerevan.html,"Mashtots M. ave 37, Yerevan 0002 Armenia",44.509663,40.182493,0.5622910270740717
42,Verev Rooftop,5.0,32,NotArmenian,NotVegetarian,3,15,https://www.tripadvisor.com/Restaurant_Review-g293932-d17405848-Reviews-Verev_Rooftop-Yerevan.html,"Abovyan str. 3, Yerevan 0001 Armenia",44.569634,40.239615,7.583256743706023
43,Yard Yerevan,5.0,32,NotArmenian,NotVegetarian,5,20,https://www.tripadvisor.com/Restaurant_Review-g293932-d14211169-Reviews-Yard_Yerevan-Yerevan.html,"Isahakyan str. 24/1, Yerevan 0009 Armenia",44.512546,40.177628,0.48897940208419083
44,Segafredo Zanetti Espresso,4.0,88,NotArmenian,NotVegetarian,4,12,https://www.tripadvisor.com/Restaurant_Review-g293932-d3574698-Reviews-Segafredo_Zanetti_Espresso-Yerevan.html,"Amiryan str. 3/37, Yerevan 0010 Armenia",44.510696,40.178552,0.5684432045049782
45,Karma Indian Restaurant,4.0,147,NotArmenian,Vegetarian,5,15,https://www.tripadvisor.com/Restaurant_Review-g293932-d1100878-Reviews-Karma_Indian_Restaurant-Yerevan.html,"65 Teryan Street, Yerevan 0001 Armenia",44.517945,40.186,0.43211579439413156
46,Restaurant Seasons,4.5,69,Armenian,Vegetarian,4,21,https://www.tripadvisor.com/Restaurant_Review-g293932-d17639706-Reviews-Restaurant_Seasons-Yerevan.html,"Mashtots M. ave 15/5, Yerevan 0002 Armenia",44.50766,40.182369,0.7850374607459671
47,Liban,4.5,136,NotArmenian,Vegetarian,6,18,https://www.tripadvisor.com/Restaurant_Review-g293932-d2316698-Reviews-Liban-Yerevan.html,"Khorenatsi St., 14 Khorenatsi & Zakyan Crossroad, Yerevan 374 Armenia",43.833294,40.828084,91.62036323745693
48,Fabrica,5.0,82,NotArmenian,NotVegetarian,3,28,https://www.tripadvisor.com/Restaurant_Review-g293932-d17653876-Reviews-Fabrica-Yerevan.html,"9 Saryan Street, Yerevan 0002 Armenia",44.508773,40.186496,0.716564220818145
49,Sophiste,5.0,24,NotArmenian,NotVegetarian,3,27,https://www.tripadvisor.com/Restaurant_Review-g293932-d17724675-Reviews-Sophiste-Yerevan.html,"Tamanyan str. 1/2, Yerevan 0009 Armenia",44.514918,40.189045,0.48261409432963126
50,Salon Armenian Restaurant,4.0,106,Armenian,Vegetarian,10,60,https://www.tripadvisor.com/Restaurant_Review-g293932-d6436409-Reviews-Salon_Armenian_Restaurant-Yerevan.html,"Abovyan str. 8, Yerevan 0010 Armenia",44.515322,40.180467,0.21117772447714583
51,Terrazza,4.5,60,NotArmenian,NotVegetarian,7,50,https://www.tripadvisor.com/Restaurant_Review-g293932-d4503863-Reviews-Terrazza-Yerevan.html,"Isaakyan A. str. 28, Yerevan 0009 Armenia",44.512546,40.177628,0.48897940208419083
52,Square One,4.0,168,NotArmenian,Vegetarian,4,12,https://www.tripadvisor.com/Restaurant_Review-g293932-d1100889-Reviews-Square_One-Yerevan.html,"Abovyan str. 1/3, Yerevan 0010 Armenia",44.569634,40.239615,7.583256743706023
53,Epicure,4.5,53,NotArmenian,Vegetarian,5,30,https://www.tripadvisor.com/Restaurant_Review-g293932-d12361923-Reviews-Epicure-Yerevan.html,"Pushkina str. 40, Yerevan 0010 Armenia",44.512546,40.177628,0.48897940208419083
54,Dragon Garden,4.5,95,NotArmenian,Vegetarian,3,30,https://www.tripadvisor.com/Restaurant_Review-g293932-d12963402-Reviews-Dragon_Garden-Yerevan.html,"Arami str. 76, Yerevan 0002 Armenia",44.507911,40.183837,0.7586833003136213
55,Noyan Tun,4.5,91,NotArmenian,NotVegetarian,20,40,https://www.tripadvisor.com/Restaurant_Review-g293932-d2035207-Reviews-Noyan_Tun-Yerevan.html,"Amiryan str. 12, Yerevan 0010 Armenia",44.508423,40.180702,0.7218721955280352
56,Zatar Pizza,4.5,88,NotArmenian,Vegetarian,5,100,https://www.tripadvisor.com/Restaurant_Review-g293932-d7984662-Reviews-Zatar_Pizza-Yerevan.html,"Anrapyetutsyan str. 24, Yerevan 0010 Armenia",44.513301,40.175279,0.6321932522353384
58,Kilikia Beerhouse,4.5,60,Armenian,NotVegetarian,4,14,https://www.tripadvisor.com/Restaurant_Review-g293932-d10148948-Reviews-Kilikia_Beerhouse-Yerevan.html,"Abovyan str. 8, Yerevan 0010 Armenia",44.515322,40.180467,0.21117772447714583
59,Eight18n Cocktail Bar & Bites,5.0,23,Armenian,NotVegetarian,5,21,https://www.tripadvisor.com/Restaurant_Review-g293932-d16742961-Reviews-Eight18n_Cocktail_Bar_Bites-Yerevan.html,"Tumanyan O. str. 41 Tumanyan - Saryan intersection, Yerevan 0002 Armenia",44.514208,40.187275,0.34588216304027886
60,Charlie Public House,5.0,22,Armenian,NotVegetarian,5,12,https://www.tripadvisor.com/Restaurant_Review-g293932-d13390497-Reviews-Charlie_Public_House-Yerevan.html,"Mashtots M. ave 37, Yerevan 0002 Armenia",44.509663,40.182493,0.5622910270740717
61,Cafe Merci,5.0,40,NotArmenian,Vegetarian,5,100,https://www.tripadvisor.com/Restaurant_Review-g293932-d8621284-Reviews-Cafe_Merci-Yerevan.html,"10.Tumanyan str. 16, Yerevan 0060 Armenia",44.512546,40.177628,0.48897940208419083
62,2nd Floor,4.5,37,Armenian,NotVegetarian,4,12,https://www.tripadvisor.com/Restaurant_Review-g293932-d14913894-Reviews-2nd_Floor-Yerevan.html,"Abovyan str. 3/1, Yerevan 0010 Armenia",44.569634,40.239615,7.583256743706023
63,Ace of Spades Bar & Grill,5.0,36,NotArmenian,NotVegetarian,2,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d15060367-Reviews-Ace_of_Spades_Bar_Grill-Yerevan.html,"Spendiaryan, 6, Yerevan 0002 Armenia",44.512546,40.177628,0.48897940208419083
64,Gastropolis,4.0,81,Armenian,Vegetarian,1,17,https://www.tripadvisor.com/Restaurant_Review-g293932-d14168942-Reviews-Gastropolis-Yerevan.html,"Vazgen Sargsyan St.,2 Kamar Business Centre, Yerevan 0010 Armenia",44.509789,40.175575,0.8037487107411854
65,Wine Time,5.0,18,Armenian,Vegetarian,6,14,https://www.tripadvisor.com/Restaurant_Review-g293932-d13826687-Reviews-Wine_Time-Yerevan.html,"Zakyan s. str. 8, Yerevan 0015 Armenia",44.507372,40.177305,0.9321203321760045
66,Cafe XV,4.5,32,NotArmenian,NotVegetarian,6,14,https://www.tripadvisor.com/Restaurant_Review-g293932-d17652299-Reviews-Cafe_XV-Yerevan.html,"Byuzand 17, Yerevan 0010 Armenia",44.512546,40.177628,0.48897940208419083
67,Paparazzi Cafe,4.5,34,NotArmenian,Vegetarian,2,8,https://www.tripadvisor.com/Restaurant_Review-g293932-d11925455-Reviews-Paparazzi_Cafe-Yerevan.html,"Abovyan str. 3 6th Floor, Yerevan 0001 Armenia",44.569634,40.239615,7.583256743706023
68,Sayat-Nova Tavern,5.0,44,Armenian,Vegetarian,5,20,https://www.tripadvisor.com/Restaurant_Review-g293932-d13291365-Reviews-Sayat_Nova_Tavern-Yerevan.html,"39 Sayat-Nova Ave., Yerevan 0025 Armenia",44.526821,40.177553,1.4132153502352884
69,CEO3,4.5,70,NotArmenian,Vegetarian,10,20,https://www.tripadvisor.com/Restaurant_Review-g293932-d9829733-Reviews-CEO3-Yerevan.html,"Bagramyan Marshal ave 2 Isahakyan St., Yerevan 0019 Armenia",44.524377,40.184884,1.0847009071468445
70,Masoor Restaurant,5.0,16,Armenian,NotVegetarian,8,20,https://www.tripadvisor.com/Restaurant_Review-g293932-d17455546-Reviews-Masoor_Restaurant-Yerevan.html,"Pavstos Buzand 3/25 Near Vernissage, Yerevan 0010 Armenia",44.515583,40.177091,0.47830538421774527
71,Yasaman Yerevan's Restaurant,4.5,29,Armenian,NotVegetarian,8,25,https://www.tripadvisor.com/Restaurant_Review-g293932-d19415266-Reviews-Yasaman_Yerevan_s_Restaurant-Yerevan.html,"Yekmalyan str. 111, Yerevan 0002 Armenia",44.508118,40.184698,0.7452265378760892
72,Ararat Pandok,5.0,15,Armenian,NotVegetarian,1,14,https://www.tripadvisor.com/Restaurant_Review-g293932-d19244563-Reviews-Ararat_Pandok-Yerevan.html,"15 Sayat-Nova Ave., Yerevan 0001 Armenia",44.518305,40.184663,0.42114371610259116
73,Karas National Food Chain,4.0,65,Armenian,Vegetarian,4,12,https://www.tripadvisor.com/Restaurant_Review-g293932-d8264538-Reviews-Karas_National_Food_Chain-Yerevan.html,"Vardanantsa str. 15/6, Yerevan 0010 Armenia",44.521134,40.174741,0.9688721693474441
74,Lunch House,5.0,19,NotArmenian,NotVegetarian,0,2,https://www.tripadvisor.com/Restaurant_Review-g293932-d10296674-Reviews-Lunch_House-Yerevan.html,"Isaakyan str. 5/3 near metro station Eritasardakan, Yerevan 0009 Armenia",44.512546,40.177628,0.48897940208419083
75,Salt & Pepper,4.5,19,Armenian,NotVegetarian,3,11,https://www.tripadvisor.com/Restaurant_Review-g293932-d15347987-Reviews-Salt_Pepper-Yerevan.html,"Abovyan str. 3/1, Yerevan 0010 Armenia",44.569634,40.239615,7.583256743706023
76,Melrose Pub & Bar,4.5,30,NotArmenian,NotVegetarian,5,15,https://www.tripadvisor.com/Restaurant_Review-g293932-d6579580-Reviews-Melrose_Pub_Bar-Yerevan.html,"Pushkina str. 42 Pushkin & Koghbatsi Crossroads, Yerevan 0002 Armenia",37.415685,55.966786,1541.0060662324795
77,Monte Cristo,4.5,40,Armenian,Vegetarian,15,25,https://www.tripadvisor.com/Restaurant_Review-g293932-d5220417-Reviews-Monte_Cristo-Yerevan.html,"Hrazdan Canyon 73, Yerevan 0013 Armenia",44.496709,40.189934,2.0754057096054694
78,Gusto,4.0,83,NotArmenian,Vegetarian,5,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d1100877-Reviews-Gusto-Yerevan.html,"Abovyan str. 11-53, Yerevan 0001 Armenia",44.611092,40.293414,13.844709292406382
79,Navavar & Jean-Paul Existential Cafe,4.5,53,Armenian,NotVegetarian,8,18,https://www.tripadvisor.com/Restaurant_Review-g293932-d7910209-Reviews-Navavar_Jean_Paul_Existential_Cafe-Yerevan.html,"Arami str. 42/1, Yerevan 0010 Armenia",44.512331,40.180777,0.31730548307389345
80,Vegas Restaurant Seafood & More,5.0,13,NotArmenian,NotVegetarian,4,12,https://www.tripadvisor.com/Restaurant_Review-g293932-d15549793-Reviews-Vegas_Restaurant_Seafood_More-Yerevan.html,"Anrapyetutsyan str. 78, Yerevan 0001 Armenia",44.521808,40.178931,0.8518669393743606
81,HyeLandz,4.5,25,Armenian,Vegetarian,10,60,https://www.tripadvisor.com/Restaurant_Review-g293932-d11858377-Reviews-HyeLandz-Yerevan.html,"2nd Street Geghadir, Yerevan 2216 Armenia",44.484591,40.163336,3.693726292765572
82,Bakeryerevan,5.0,17,NotArmenian,Vegetarian,2,6,https://www.tripadvisor.com/Restaurant_Review-g293932-d12360519-Reviews-Bakeryerevan-Yerevan.html,"Vardanantsa str. 7, Yerevan 0010 Armenia",44.512546,40.177628,0.48897940208419083
83,Achajour Cafe,4.0,57,NotArmenian,NotVegetarian,3,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d3640004-Reviews-Achajour_Cafe-Yerevan.html,"Bagramyan Marshal ave 21 Lovers' Park Yerevan, Yerevan 0019 Armenia",44.512546,40.177628,0.48897940208419083
84,Jose Cafe Club Restaurant,4.0,57,Armenian,Vegetarian,2,15,https://www.tripadvisor.com/Restaurant_Review-g293932-d12048582-Reviews-Jose_Cafe_Club_Restaurant-Yerevan.html,"Khanjyan Street 20 Building, Yerevan 0010 Armenia",44.521565,40.175658,0.9587233702857649
85,Chaman Home-Restaurant,5.0,14,Armenian,NotVegetarian,2,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d11994895-Reviews-Chaman_Home_Restaurant-Yerevan.html,"13 Leo Street, Yerevan 0010 Armenia",44.502234,40.179372,1.4158765248638128
86,Beatles Pub Yerevan,4.5,22,NotArmenian,NotVegetarian,2,6,https://www.tripadvisor.com/Restaurant_Review-g293932-d12218822-Reviews-Beatles_Pub_Yerevan-Yerevan.html,"Pushkina str. 60, Yerevan 0002 Armenia",44.512546,40.177628,0.48897940208419083
87,Sushi Toria Yerevan,4.0,59,NotArmenian,NotVegetarian,5,15,https://www.tripadvisor.com/Restaurant_Review-g293932-d2587638-Reviews-Sushi_Toria_Yerevan-Yerevan.html,"1 Sayat-Nova Ave., Intersection with Bayron Street, near Conservatory, Yerevan 0009 Armenia",44.516283,40.186489,0.3290353586252353
88,Magnolia Bar & Restaurant,4.0,30,Armenian,NotVegetarian,4,21,https://www.tripadvisor.com/Restaurant_Review-g293932-d17329480-Reviews-Magnolia_Bar_Restaurant-Yerevan.html,"Mashtots M. ave 42/6, Yerevan 0002 Armenia",44.514244,40.185938,0.24069205234967897
89,"Hugo Bar, Restaurant & Cafe",4.5,22,NotArmenian,NotVegetarian,3,83,https://www.tripadvisor.com/Restaurant_Review-g293932-d16644355-Reviews-Hugo_Bar_Restaurant_Cafe-Yerevan.html,"3/1 Pushkin St, Yerevan 0010 Armenia",44.507929,40.185008,0.7706565022876527
90,Jano Restaurant,4.5,29,Armenian,Vegetarian,2,4,https://www.tripadvisor.com/Restaurant_Review-g293932-d10120520-Reviews-Jano_Restaurant-Yerevan.html,"Tigran Mets 59, Yerevan 0005 Armenia",44.512133,40.159662,1.876203278574704
91,Studio Cafe,4.5,43,Armenian,NotVegetarian,3,15,https://www.tripadvisor.com/Restaurant_Review-g293932-d2185212-Reviews-Studio_Cafe-Yerevan.html,"Isaakyan A. str. 38 0009, Yerevan 0009 Armenia",44.512546,40.177628,0.48897940208419083
92,Art Cafe Van Gogh,4.5,31,Armenian,NotVegetarian,4,12,https://www.tripadvisor.com/Restaurant_Review-g293932-d4069011-Reviews-Art_Cafe_Van_Gogh-Yerevan.html,"Tumanyan 31 / 3, Yerevan 0002 Armenia",44.51216,40.185931,0.36788205106739064
93,Karloff Czech Brewery-Restaurant,4.0,47,NotArmenian,NotVegetarian,10,25,https://www.tripadvisor.com/Restaurant_Review-g293932-d4037415-Reviews-Karloff_Czech_Brewery_Restaurant-Yerevan.html,"31 Moskovyan Str., Yerevan Armenia",44.513499,40.187309,0.3694634866064025
